No.	单词	解释
199	laisser	v. t. 1. 留， 剩， 保留： Laissez-nous place. 给我们留些地方。 Laissez-lui-en un peu. 给他留着点儿。 Laiss...
200	patienter	v. i. 耐心， 忍耐 Prenez un magazine pour patienter. 等的时候请看画报。
201	eau	n. f. 1. 水 eau courante 活水，流水；自来水 eau du robinet 自来水 eau douce 淡水 eau potable 饮用水 ea...
202	moins	adv. A. 1更少, 较少：ù ～mais mieux 少而精 2～que ： 比…少， 不如： Je travaille ～que vous. 我工作做得比你少； 不超过，...
203	bonbon	n. m 1糖果 bonbon fourré 夹心糖果 bonbon au chocolat 巧克力糖 bonbon fondant 易溶于口的糖果 2饼干 3 ...
204	donné	donné, e a. 1. 给予的, 送给的 C'est donné .〈口语〉这简直是白送。这卖得很便宜。 2. 已定的, 一定的;已知的, 假定的 dan...
205	emporter	v. t. 1. 带走， 拿走， 运走： emporter un blessé 运走一个伤员 emporter peu d'effets pour le voyage 带很少...
206	descendre	v. i. 1. 下， 下来， 下去， 走下： descendre lentement 慢慢下来descendre d'un arbre 从一棵树上下来descendre par ...
207	frire	v. t. 油炸， 油氽， 油煎： frire des côtelettes 油炸排骨poêle à ~ 长柄平锅， 煎锅poisson frit 炸鱼pommes de terre fr...
208	connaître	v. t. dir. 1. 知道， 认得： connaître l'adresse de qn 知道某人的地址connaître les aspirations du peuple 了...
209	perdre	v. t. 1. 失去， 丧失： perdre un bras 失去一条胳膊perdre la carte 晕头转向perdre ses cheveux 脱发perdre confia...
210	longtemps	adv. 长久， 很久, 好久， 长时间 il vivra encore longtemps. 他还将活很长时间。 je n'aurais pas pu parler si lon...
211	environ	prép. 〈书面语〉大约在, 大概在, 左右 environ cette époque大约在这一时期 — adv. 大约, 差不多, 将近, 上下, 左右 Ce...
212	pluie	n.f. 1. 雨;下雨 gouttes de pluie 雨点 pluie fine细雨, 毛毛雨 grosse pluie 雨点很大的雨 une pluie c...
213	coucher	v. t. 1. 使躺下， 使卧倒， 使睡下： coucher un blessé sur un brancard 把伤员放在担架上 coucher un enfant 安顿...
214	nulle part	无处； 到处都无
215	qn.	某人
216	qch.	某物
217	raconter	v. t. 1. 叙述， 讲述： raconter des histoires 讲故事 raconter qch à qn. 向某人讲述某事 2. 描写， 描绘： raconte...
218	poubelle	n.f. 1. 家用垃圾箱 jeter qch. à la poubelle 把某物扔进垃圾箱 descendre la poubelle 下楼扔垃圾 faire les...
219	avoir	v. t. 1. 有， 具有， 享有， 带有： avoir du courage 有勇气en avoir 有勇气：Il n'en a pas, ce type-là! 那个家伙没胆量！...
220	idée	n. f. 1观念； 概念： les ~s traditionnelles 传统的观念 2思想3看法， 想法， 意见4见解； 创见5念头， 主意， 打算6想象， 空想； 印象7头脑， 脑海...
221	tout	tout, toute, tous/tu/, toutes adj.indéf. 1. sing. 任何，每一个 tout Chinois 每一个中国人 tout un c...
222	quand	adv. 什么时候， 何时 conj. 1. 当…时2. 每当3. ： Vous veillez encore quand vous avez travaillé de toute...
223	temps	n. m. 1. 时间，时光，光阴 gagner du temps 争取时间，拖延时间 perdre son temps 浪费时间 rattraper le temps p...
224	bonheur	n.m. 1. 幸运, 运气 Nous avons eu le bonheur de la rencontrer.我们认识她真是幸运。 porter bonheur 带来好运 ...
225	voiture	n. f 1车， 车辆~hippomobile 马车 ~d'enfant 童车 2汽车， 轿车~de course 赛车，跑车 ~de place 出租车 condui...
226	gagne	n. f. 取胜的愿望；胜利，成功 Dans la famille, on a la gagne dans le sang. 我们这个家骨子里就有取胜的愿望。
227	adorable	a. 1. 值得崇拜的 2. 令人爱慕的 3. 〈夸张语〉挺可爱的 un enfant adorable 挺可爱的孩子 常见用法 Elle a un ne...
228	marier	v. t. 1. 为…主持婚礼2. 使结婚； 替…娶； 嫁出： marier sa fille à qn 把女儿嫁给某人 3. 使结合； 使和谐； 使融合： marier la vi...
229	ordinateur	ordinateur, trice n.m. 1. 计算机 ordinateur individuel 微机 ordinateur personnel 个人计算机, 个人...
230	étranger	étranger, ère a. 1. 外国的, 他国的 touriste étranger 外国游客, 外国观光客 langues étrangères外语 accen...
